N_followers,active_count,active_indices,actuator_tau_s,alpha_mps2,budget_ok,case_id,command_delay_s,controller,disturbance_end_s,disturbance_half_duration_s,disturbance_location,disturbance_start_s,disturbance_waveform,dt_s,equipped_count,equipped_indices,failure_count,first_limit_kind,first_limit_time_s,first_limit_value,first_limit_vehicle,hdv_model,heavy_indices,horizon_s,information_delay_s,layout,mean_loss_m_per_follower,min_gap_m,normalized_loss,peak_braking_mps2,peak_constraint_kind,peak_constraint_time_s,peak_constraint_usage,peak_constraint_vehicle,peak_jerk_mps3,predicted_bottleneck_constraint,predicted_bottleneck_margin,predicted_bottleneck_time_s,predicted_bottleneck_vehicle,pulse_internal_gain,pulse_tail_gain,reaction_delay_s,recovered,run_id,safe,seed,studies,success,target_gap_m,target_speed_mps,terminal_acceleration_error_mps2,terminal_gap_error_m,terminal_speed_error_mps,throughput_loss_vehicle_m,total_vehicles
40,4,"[1,14,27,40]",0.35,2.0,1.0,even_idm_leader_d02,0.2,margin,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",1.0,jerk_saturation,5.0,-20.0,0,idm,[],60.0,0.2,even,6.045176440567992,19.56003271057392,0.005037647033806661,2.0,gap_lower,8.1,0.22199836447130394,1,5.0,gap_lower,0.7028209984038035,6.800000000000001,1,0.32117421141414937,0.0,0.7,1.0,0396338a6bf7a0a0,1.0,11,controller_comparison;layout_comparison,1.0,24.0,20.0,0.11906423774503173,2.3075000000003456,0.42759855402708524,241.8070576227197,41
40,4,"[1,14,27,40]",0.35,2.0,0.0,even_idm_leader_d02,0.2,wave,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",100.0,jerk_saturation,5.0,-20.0,0,idm,[],60.0,0.2,even,153.54561612492265,-33.07201563117556,0.1279546801041022,4.5,gap_lower,60.0,2.853600781558778,27,5.000000000000004,gap_lower,-2.0342792038011677,59.900000000000006,27,6.666666666666667,3.788092342132106,0.7,0.0,03a197b1eaffbe14,0.0,149,controller_comparison,0.0,24.0,20.0,4.5,104.08900256336204,20.0,6141.824644996906,41
20,2,"[1,20]",0.35,2.5,1.0,even_idm_leader_N20,0.2,predictive,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,2,"[1,20]",1.0,jerk_saturation,5.0,-25.0,0,idm,[],60.0,0.2,even,9.297980114353672,17.44987155700528,0.007748316761961393,2.5,gap_lower,8.8,0.32750642214973597,1,5.0,gap_lower,0.616796615564511,7.0,1,0.2666430711583966,0.09333333333333277,0.7,1.0,03bad386eb54e88f,1.0,131,chain_length_scope,1.0,24.0,20.0,0.21679742284252312,1.4781358100162834,0.34999999999999787,185.95960228707344,21
40,4,"[37,38,39,40]",0.35,2.5,0.0,rear_idm_leader_d02,0.2,margin,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[37,38,39,40]",133.0,jerk_saturation,5.0,-25.0,0,idm,[],60.0,0.2,rear,283.37084432426434,-57.15914956636828,0.2361423702702203,4.5,gap_lower,60.0,4.057957478318414,37,5.000000000000004,gap_lower,-3.5386913701056057,59.900000000000006,37,5.333333333333333,0.16333522302864764,0.7,0.0,03be7ae82f6bc451,0.0,47,layout_comparison,0.0,24.0,20.0,4.5,147.07801689593907,20.0,11334.833772970575,41
40,4,"[1,14,27,40]",0.35,1.9,1.0,even_idm_leader_d02,0.2,margin,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",1.0,jerk_saturation,5.0,-18.999999999999996,0,idm,[],60.0,0.2,even,5.520444380242931,19.858526954864345,0.004600370316869109,1.9,jerk,6.0,0.2157434402332361,1,5.0,gap_lower,0.7185493977653218,6.7,1,0.3157433198713496,0.0,0.7,1.0,03cdb777c7894ae9,1.0,29,controller_comparison;layout_comparison,1.0,24.0,20.0,0.20351639197953236,1.952807689336396,0.4347883915265278,220.81777520971724,41
40,4,"[1,14,27,40]",0.35,0.0,1.0,even_idm_leader_d02,0.2,margin,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",0.0,jerk,0.1,3.092860462114067e-16,6,idm,[],60.0,0.2,even,0.0,24.0,0.0,1.5331773592430868e-16,jerk,0.1,3.092860462114067e-16,6,1.5464302310570335e-15,acceleration_upper,0.9999999999999999,0.0,3,0.0,0.0,0.7,1.0,0428f29f0ff63554,1.0,97,controller_comparison;layout_comparison;prediction_scope,1.0,24.0,20.0,1.5464302310570336e-16,0.0,0.0,0.0,41
40,4,"[1,2,3,4]",0.35,1.7,1.0,front_idm_leader_d02,0.2,margin,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,2,3,4]",1.0,jerk_saturation,5.0,-17.0,0,idm,[],60.0,0.2,front,6.786089381015937,20.398261426893157,0.005655074484179947,1.7,jerk,6.1000000000000005,0.1949187838400666,1,5.0,gap_lower,0.7461541031193801,6.7,1,0.32347790797516185,3.757372473287165e-06,0.7,1.0,0465cb78131b70d2,1.0,11,layout_comparison,1.0,24.0,20.0,0.047478600220033425,2.854250000015554,0.41734994762054,271.4435752406375,41
40,4,"[1,14,27,40]",0.35,2.1,1.0,even_idm_leader_cmd04,0.4,margin,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",1.0,jerk_saturation,5.0,-21.0,0,idm,[],60.0,0.2,even,6.210675952477534,19.164326437784013,0.005175563293731278,2.1,gap_lower,8.1,0.24178367811079937,1,5.0,gap_lower,0.6828209984038016,7.0,1,0.36259899702053916,0.0,0.7,1.0,04745a38d4389560,1.0,113,prediction_scope,1.0,24.0,20.0,0.23305990961316825,1.8620648342644017,0.4928571428561632,248.42703809910137,41
40,4,"[37,38,39,40]",0.35,1.8,0.0,rear_idm_leader_d02,0.2,margin,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[37,38,39,40]",119.0,jerk_saturation,5.0,-18.0,0,idm,[],60.0,0.2,rear,229.81881365576777,-53.726726675867965,0.19151567804647315,4.5,gap_lower,60.0,3.8863363337933983,37,5.000000000000004,gap_lower,-3.384519658827638,59.900000000000006,37,7.4074074074074066,0.18982489738915015,0.7,0.0,050b5098d2fac8b8,0.0,149,layout_comparison;prediction_scope,0.0,24.0,20.0,4.5,127.77017296830752,20.0,9192.752546230711,41
40,4,"[1,14,27,40]",0.35,0.0,1.0,even_idm_leader_d02,0.2,wave,8.0,1.5,0,5.0,closed symmetric acceleration-command pulse,0.1,4,"[1,14,27,40]",0.0,jerk,0.1,3.033043242170331e-16,32,idm,[],60.0,0.2,even,0.0,24.0,0.0,1.4158437991504552e-16,jerk,0.1,3.033043242170331e-16,32,1.5165216210851655e-15,acceleration_upper,0.9999999999999999,0.0,2,0.0,0.0,0.7,1.0,0536c879edaf8aca,1.0,131,controller_comparison,1.0,24.0,20.0,1.5165216210851655e-16,0.0,0.0,0.0,41
