N_followers,alpha_mps2,case_id,command_delay_s,controller,disturbance_location,hdv_model,layout,mean_loss_m_per_follower_median,mean_loss_m_per_follower_q25,mean_loss_m_per_follower_q75,min_gap_m_median,min_gap_m_q25,min_gap_m_q75,normalized_loss_median,normalized_loss_q25,normalized_loss_q75,peak_constraint_usage_median,peak_constraint_usage_q25,peak_constraint_usage_q75,peak_jerk_mps3_median,peak_jerk_mps3_q25,peak_jerk_mps3_q75,pulse_internal_gain_median,pulse_internal_gain_q25,pulse_internal_gain_q75,success_rate,success_wilson_high,success_wilson_low,successes,terminal_gap_error_m_median,terminal_gap_error_m_q25,terminal_gap_error_m_q75,terminal_speed_error_mps_median,terminal_speed_error_mps_q25,terminal_speed_error_mps_q75,throughput_loss_vehicle_m_median,throughput_loss_vehicle_m_q25,throughput_loss_vehicle_m_q75,trials
80,0.25,even_idm_leader_N80,0.2,wave,0,idm,even,0.1776149604231153,0.17340188922719096,0.18050758999908134,23.63545048406307,23.63545048406307,23.63545048406307,0.00014801246701926277,0.00014450157435599249,0.00015042299166590113,0.12363052410794312,0.12363052410794312,0.12363052410794312,5.0,5.0,5.0,0.7078878072353424,0.7078878072353424,0.7078878072353424,1.0,0.9999999999999999,0.6096569663469354,6,0.04323786384071582,0.042112602489936535,0.04367405729563245,0.01837674991585736,0.015908253017001606,0.019535372680437035,14.209196833849226,13.872151138175278,14.440607199926509,6
20,2.5,even_idm_leader_N20,0.2,wave,0,idm,even,194.6995533148035,191.5638217219527,203.55485115476927,-33.26344821412747,-33.644472161897355,-33.16783744230339,0.16224962776233626,0.15963651810162727,0.16962904262897438,2.8631724107063734,2.8583918721151695,2.8822236080948676,5.000000000000004,5.000000000000004,5.000000000000004,5.333333333333333,5.333333333333333,5.333333333333333,0.0,0.3903430336530645,0.0,0,130.87202474561695,115.0488617944408,146.85489398200616,14.803611222440214,14.465340544831472,16.32062350498957,3893.99106629607,3831.2764344390544,4071.0970230953853,6
40,2.1,middle_idm_leader_d02,0.2,margin,0,idm,middle,147.1780678847474,144.30006609807543,163.99745058756213,-99.96020964701552,-100.17938133802083,-98.23529272514675,0.12264838990395618,0.12025005508172952,0.13666454215630175,6.198010482350776,6.1117646362573375,6.208969066901042,5.000000000000004,5.000000000000004,5.000000000000004,6.349206349206349,6.349206349206349,6.349206349206349,0.0,0.2425007574992425,0.0,0,122.43017037520217,117.08127905962354,130.836517354127,20.0,20.0,20.0,5887.122715389896,5772.002643923018,6559.898023502484,12
80,1.8,even_idm_leader_N80,0.2,predictive,0,idm,even,1.50375531093203,1.4841652204020412,1.5781558336808303,19.848370192974244,19.848370192974244,19.848370192974244,0.0012531294257766916,0.0012368043503350342,0.0013151298614006918,0.2075814903512878,0.2075814903512878,0.2075814903512878,5.0,5.0,5.0,0.24232634828577376,0.2407364782618002,0.24600771096993534,1.0,0.9999999999999999,0.6096569663469354,6,1.433151751276256,1.389925400055219,1.4696888246222528,0.17500000000000426,0.17500000000000426,0.19150483496543913,120.3004248745624,118.7332176321633,126.2524666944664,6
40,2.5,even_idm_internal8_d02,0.2,margin,8,idm,even,82.94088630523473,21.023091346071837,144.98014246452843,-77.28955109263225,-87.71334780302521,-10.341542393033313,0.06911740525436227,0.017519242788393195,0.120816785387107,5.064477554631612,1.9845516736990936,5.5856673901512615,5.000000000000004,5.000000000000003,5.000000000000004,5.333333333333333,2.440322772908255,5.333333333333333,0.3333333333333333,0.7000116786584712,0.09676933255921683,2,100.94690078242846,27.367206169851748,103.18699642398857,20.0,5.573074957368762,20.0,3317.635452209389,840.9236538428734,5799.205698581137,6
40,1.9,even_idm_leader_d02,0.2,human,0,idm,even,221.7253175678674,209.94348462269542,232.29093266518765,-2.4880590066183537,-2.564459704433496,-2.4052073647704777,0.18477109797322283,0.17495290385224616,0.19357577722098968,1.3244029503309176,1.3202603682385239,1.328222985221675,5.000000000000004,5.000000000000004,5.000000000000004,7.017543859649123,7.017543859649123,7.017543859649123,0.0,0.2425007574992425,0.0,0,106.52041774844284,91.87740901919823,120.36451740205203,20.0,20.0,20.0,8869.012702714695,8397.739384907816,9291.637306607507,12
40,1.8,even_idm_internal8_d02,0.2,margin,8,idm,even,5.228681783576289,4.619838382371418,5.556131545216067,18.010725508031452,17.92897636034438,19.20134815572921,0.004357234819646907,0.0038498653186428474,0.004630109621013389,1.0,1.0,1.0000000000000002,5.0,5.0,5.000000000000001,0.9958566161941692,0.897757319974881,1.0218055868393465,1.0,0.9999999999999999,0.6096569663469354,6,2.751986672341104,2.52111353946637,2.774433599711159,0.4249465946359532,0.40600970402517955,0.43190972389216586,209.14727134305156,184.79353529485667,222.24526180864268,6
40,1.7,even_idm_leader_d02,0.2,acc,0,idm,even,112.38714751842363,70.26346834773432,139.53386733394038,-2.3788923806158806,-2.4657755962862318,-1.9164962867741977,0.09365595626535303,0.0585528902897786,0.11627822277828367,1.318944619030794,1.2958248143387099,1.3232887798143116,5.000000000000004,5.000000000000004,5.000000000000004,7.843137254901961,7.843137254901961,7.843137254901961,0.0,0.2425007574992425,0.0,0,82.38154352539291,69.24307854819443,90.67791356431354,20.0,20.0,20.0,4495.485900736945,2810.5387339093727,5581.354693357615,12
40,2.5,even_idm_leader_d02,0.2,predictive,0,idm,even,5.336048789258712,5.264573994744037,5.406005851500568,17.44987155700528,17.44987155700528,17.44987155700528,0.00444670732438226,0.00438714499562003,0.004505004876250474,0.32750642214973597,0.32750642214973597,0.32750642214973597,5.0,5.0,5.0,0.2666430711583966,0.2666430711583966,0.26834136368794953,1.0,1.0,0.7574992425007574,12,2.056230245737339,1.9876488527274176,2.20677375186348,0.3380780904670093,0.33146880460950534,0.34697077830853473,213.44195157034846,210.58295978976145,216.24023406002271,12
40,2.0,even_idm_leader_d02,0.2,acc,0,idm,even,200.07090852764134,176.06649319045823,205.2868138588349,-2.4685995798387914,-2.524663888420079,-2.411914018914361,0.16672575710636778,0.1467220776587152,0.1710723448823624,1.3234299789919395,1.3205957009457179,1.326233194421004,5.000000000000004,5.000000000000004,5.000000000000004,6.666666666666667,6.666666666666667,6.666666666666667,0.0,0.2425007574992425,0.0,0,109.5847444502594,98.60333896302865,117.91943219988488,20.0,20.0,20.0,8002.8363411056525,7042.659727618329,8211.472554353397,12
