run_id,case_id,layout,seed,alpha_mps2,active_indices,prefix_indices,first_prefix_safety_vehicle,first_prefix_safety_time_s,first_prefix_safety_gap_m,first_prefix_collision_time_s,source,first_crossing_verified
5599bd02bba696ec,middle_idm_leader_d02,middle,97,2.1,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",11.0,23.200000000000003,3.910237034701254,24.900000000000002,results/nonlinear_revision/failure_log.jsonl,True
ea47c6ff84cdbf65,middle_idm_leader_d02,middle,113,2.1,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",11.0,23.0,3.9198404441303865,24.900000000000002,results/nonlinear_revision/failure_log.jsonl,True
125c91c4020bb3df,middle_idm_leader_d02,middle,131,2.1,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",12.0,24.6,3.9731345986988345,26.3,results/nonlinear_revision/failure_log.jsonl,True
c1a9bd4a79098760,middle_idm_leader_d02,middle,149,2.1,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",10.0,21.3,3.702391697584403,23.1,results/nonlinear_revision/failure_log.jsonl,True
17918baa96d1b599,middle_idm_leader_d02,middle,167,2.1,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",11.0,22.700000000000003,3.7907410722540646,24.6,results/nonlinear_revision/failure_log.jsonl,True
e53d90c640342376,middle_idm_leader_d02,middle,191,2.1,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",12.0,24.200000000000003,3.738043658419144,26.200000000000003,results/nonlinear_revision/failure_log.jsonl,True
b1c86a68eedc0e33,middle_idm_leader_d02,middle,3,2.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",9.0,20.0,3.624329695411575,22.1,results/nonlinear_revision/failure_log.jsonl,True
c3bd30370b0d8a9d,middle_idm_leader_d02,middle,11,2.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",8.0,18.7,3.985408661426305,20.700000000000003,results/nonlinear_revision/failure_log.jsonl,True
3aa929f9551eef61,middle_idm_leader_d02,middle,29,2.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",9.0,20.1,3.903633012215195,22.0,results/nonlinear_revision/failure_log.jsonl,True
290d9abbffe343a7,middle_idm_leader_d02,middle,47,2.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",9.0,19.8,3.7993809222821966,22.1,results/nonlinear_revision/failure_log.jsonl,True
f0aaa640a548d414,middle_idm_leader_d02,middle,61,2.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",8.0,18.8,3.908540614541181,20.700000000000003,results/nonlinear_revision/failure_log.jsonl,True
9748d5cc7ebc19d4,middle_idm_leader_d02,middle,79,2.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",8.0,18.7,3.6724962608958265,20.6,results/nonlinear_revision/failure_log.jsonl,True
5b41000a2e68a083,middle_idm_leader_d02,middle,97,2.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",8.0,18.8,3.900041870628286,20.8,results/nonlinear_revision/failure_log.jsonl,True
2c3b99a3fa7046e5,middle_idm_leader_d02,middle,113,2.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",9.0,19.9,3.7470010917976566,22.1,results/nonlinear_revision/failure_log.jsonl,True
42bb2d833dc3f637,middle_idm_leader_d02,middle,131,2.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",9.0,20.3,3.8339129433857977,22.1,results/nonlinear_revision/failure_log.jsonl,True
950a805dd93f83dd,middle_idm_leader_d02,middle,149,2.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",8.0,18.7,3.939262576521429,20.400000000000002,results/nonlinear_revision/failure_log.jsonl,True
6f90230cbdc2271e,middle_idm_leader_d02,middle,167,2.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",8.0,18.9,3.985659219750119,21.900000000000002,results/nonlinear_revision/failure_log.jsonl,True
6cf198ba737ac675,middle_idm_leader_d02,middle,191,2.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",9.0,19.9,3.7895965791241935,21.0,results/nonlinear_revision/failure_log.jsonl,True
b7579eae394a7e88,middle_idm_leader_d02,middle,97,3.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",7.0,17.5,3.880200553093516,19.1,results/nonlinear_revision/failure_log.jsonl,True
242989c112e7c2cb,middle_idm_leader_d02,middle,113,3.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",7.0,17.5,3.8414826168448,19.1,results/nonlinear_revision/failure_log.jsonl,True
ab6db2dc5e5ca5cc,middle_idm_leader_d02,middle,131,3.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",7.0,17.400000000000002,3.922454234456822,19.5,results/nonlinear_revision/failure_log.jsonl,True
b6472d360c698a7e,middle_idm_leader_d02,middle,149,3.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",7.0,17.3,3.9510363110311744,19.400000000000002,results/nonlinear_revision/failure_log.jsonl,True
e2d94a9fc9e965b0,middle_idm_leader_d02,middle,167,3.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",7.0,17.3,3.742766569746081,19.200000000000003,results/nonlinear_revision/failure_log.jsonl,True
9a527b9b56a9b7c8,middle_idm_leader_d02,middle,191,3.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",7.0,17.8,3.949291674507151,19.200000000000003,results/nonlinear_revision/failure_log.jsonl,True
7f02c98e2d22a319,middle_idm_leader_d02,middle,97,3.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",7.0,17.2,3.949417327926909,18.2,results/nonlinear_revision/failure_log.jsonl,True
a88d54ebabf89515,middle_idm_leader_d02,middle,113,3.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",7.0,17.2,3.9103615703239134,18.1,results/nonlinear_revision/failure_log.jsonl,True
117181cb383f3521,middle_idm_leader_d02,middle,131,3.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",6.0,16.2,3.907223210837941,18.0,results/nonlinear_revision/failure_log.jsonl,True
a52d20be08c8bfd2,middle_idm_leader_d02,middle,149,3.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",6.0,15.9,3.717309704931637,18.1,results/nonlinear_revision/failure_log.jsonl,True
aac6bc93aec751e0,middle_idm_leader_d02,middle,167,3.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",7.0,17.1,3.8068630847445775,17.900000000000002,results/nonlinear_revision/failure_log.jsonl,True
707bc72533c5b7f9,middle_idm_leader_d02,middle,191,3.5,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",6.0,16.2,3.852775947457957,18.400000000000002,results/nonlinear_revision/failure_log.jsonl,True
52f9e63dd2551454,middle_idm_leader_d02,middle,97,4.0,"[19,20,21,22]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]",6.0,16.1,3.984296298506095,18.0,results/nonlinear_revision/failure_log.jsonl,True
