controller,seed,time_s,vehicle,selected_command_mps2,empty_feasible_pool,old_endpoint_speed_mps,exact_lag_speed_mps,discrete_rollout_speed_mps,old_endpoint_gap_m,exact_lag_gap_m,discrete_rollout_gap_m,old_minus_exact_speed_mps,old_minus_discrete_speed_mps,old_minus_discrete_gap_m,old_screen_feasible_selected,discrete_endpoint_feasible_selected,rollout_speed_projection_count
predictive,3,1.9000000000000001,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.0,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.0,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.0,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.0,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.1,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.1,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.1,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.1,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.2,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.2,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.2,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.2,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.3000000000000003,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.3000000000000003,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.3000000000000003,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.3000000000000003,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.4000000000000004,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.4000000000000004,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.4000000000000004,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.4000000000000004,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.5,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.5,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.5,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.5,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.6,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.6,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.6,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.6,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.7,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.7,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.7,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.7,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.8000000000000003,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.8000000000000003,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.8000000000000003,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.8000000000000003,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.9000000000000004,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.9000000000000004,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.9000000000000004,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,2.9000000000000004,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.0,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.0,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.0,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.0,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.1,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.1,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.1,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.1,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.2,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.2,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.2,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.2,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.3000000000000003,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.3000000000000003,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.3000000000000003,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.3000000000000003,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.4000000000000004,1,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.4000000000000004,14,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.4000000000000004,27,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
predictive,3,3.4000000000000004,40,0.0,0,20.0,20.0,20.0,24.0,24.0,24.0,0.0,0.0,0.0,1,1,0
