layout,case_id,alpha_mps2,seed,category,category_label,run_id,active_indices,first_active,prefix_indices,success,witness_kind,witness_vehicle,witness_time_s,witness_gap_m,witness_margin_m
front,front_idm_leader_d02,2.5,61,A,recovered,b293734d505b039f,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.5,79,A,recovered,e29d4c73f91c930a,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.5,97,A,recovered,e35a340ef07f227f,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.5,113,A,recovered,308a533ba23b4793,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.5,131,A,recovered,5136d94fb5c0d7fe,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.5,149,A,recovered,6eb7b8f4820e080a,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.5,167,A,recovered,0cafdd62d54df668,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,2.5,191,A,recovered,565c59de27ae4e05,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,3.0,3,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,3.0,11,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,3.0,29,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,3.0,47,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,3.0,61,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,3.0,79,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,3.0,97,A,recovered,6031929a1a53a5cd,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,3.0,113,A,recovered,f8c79384701ba2bf,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,3.0,131,A,recovered,10390d5161eaae76,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,3.0,149,A,recovered,f7ab0bd555dbd02d,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,3.0,167,A,recovered,3e37a5cb74000fe4,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,3.0,191,A,recovered,bf4201d824020960,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,3.5,3,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,3.5,11,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,3.5,29,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,3.5,47,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,3.5,61,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,3.5,79,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,3.5,97,A,recovered,7a6b59cc5c2d55d4,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,3.5,113,A,recovered,63a5d5ab33eed42b,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,3.5,131,A,recovered,a2239196d49d259b,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,3.5,149,A,recovered,32640cec77827042,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,3.5,167,A,recovered,b81a8daa4b95a0a6,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,3.5,191,A,recovered,66b512a562f45870,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,4.0,3,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,4.0,11,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,4.0,29,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,4.0,47,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,4.0,61,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,4.0,79,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,4.0,97,A,recovered,b1dc106decf7721f,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,4.0,113,A,recovered,c6f4d906aa6a0a82,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,4.0,131,A,recovered,9ae75c1d0e540ac9,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,4.0,149,A,recovered,0db00f079aac4e7b,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,4.0,167,A,recovered,eb85740d1f925e7d,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,4.0,191,A,recovered,998f556a028fde87,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,4.5,3,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,4.5,11,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,4.5,29,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,4.5,47,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,4.5,61,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,4.5,79,D,not evaluated,,,,,,,,,,
front,front_idm_leader_d02,4.5,97,A,recovered,1d7b9e46b96daee6,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,4.5,113,A,recovered,d9cb90c8552fbd9d,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,4.5,131,A,recovered,3c1ffca450fab8fe,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,4.5,149,A,recovered,6a8482a2054bad08,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,4.5,167,A,recovered,6ad76c7d675c31de,"[1,2,3,4]",1.0,[],1.0,,,,,
front,front_idm_leader_d02,4.5,191,A,recovered,90362479eba18ae3,"[1,2,3,4]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.0,3,A,recovered,0e53c001328b8273,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.0,11,A,recovered,e77e835835fe5c72,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.0,29,A,recovered,1a18304bc5a56632,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.0,47,A,recovered,ebf90c4058e45e13,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.0,61,A,recovered,0ff33fbb689a009b,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.0,79,A,recovered,6d5e48db9ef2c71c,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.0,97,A,recovered,0428f29f0ff63554,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.0,113,A,recovered,ea6208917fb36014,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.0,131,A,recovered,54716c427ca4d087,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.0,149,A,recovered,248fdb713c707bea,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.0,167,A,recovered,63c074e00cc5bfa2,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.0,191,A,recovered,9d8883fd5aedd56c,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.25,3,A,recovered,8365763ea57d4562,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.25,11,A,recovered,08ea1b1e49eba625,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.25,29,A,recovered,1dce0876a462fd39,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.25,47,A,recovered,bc08ee4fcb584173,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.25,61,A,recovered,39940d32347ff8f6,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.25,79,A,recovered,baee1dcad494f13e,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.25,97,A,recovered,569e1f5c450ea8a0,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.25,113,A,recovered,a8d3af365cd112a2,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.25,131,A,recovered,e3b0640ef76bf4b8,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.25,149,A,recovered,416d9f325209f0e2,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.25,167,A,recovered,716dbd2ce59b3365,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,0.25,191,A,recovered,c750a9ab497eaec1,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.0,3,A,recovered,313d3dd2373ee22a,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.0,11,A,recovered,879f456b592d6e88,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.0,29,A,recovered,b65c3e1fdb220aec,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.0,47,A,recovered,b720f190fe7cf8f4,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.0,61,A,recovered,1b7b78c763471c61,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.0,79,A,recovered,4865fb6bce3b800a,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.0,97,A,recovered,b3b87e3444bb87e7,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.0,113,A,recovered,ea6d609d8e87848d,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.0,131,A,recovered,47f77a728d725166,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.0,149,A,recovered,4f8224cf246e8cfb,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.0,167,A,recovered,29f46a5431ba4286,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.0,191,A,recovered,27403a5eccc600d3,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.5,3,A,recovered,2f9a8487413c0f1c,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.5,11,A,recovered,4cf4886f8e67a27d,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.5,29,A,recovered,cbad9b1f373d8fe1,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.5,47,A,recovered,4a06929ab24cca6b,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.5,61,A,recovered,6de1dc40f395d404,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.5,79,A,recovered,1ddd219d20046e9e,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.5,97,A,recovered,eb809ac6f770faa6,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.5,113,A,recovered,b04a24cc77acaf6d,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.5,131,A,recovered,e87124afeefa047c,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.5,149,A,recovered,71cc2f8d9559b08e,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.5,167,A,recovered,bb4f955247f92f4a,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.5,191,A,recovered,d5b244ad900bdf08,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.7,3,A,recovered,2a97ad663f19e3f1,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.7,11,A,recovered,a25fa4fa68bbaf63,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.7,29,A,recovered,982e681c14a7cbe9,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.7,47,A,recovered,d7751033de14122d,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.7,61,A,recovered,d0d389aa49d91d20,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.7,79,A,recovered,a1c6c757cb242369,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.7,97,A,recovered,3767733d703f7e57,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.7,113,A,recovered,51beed59b880fa14,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.7,131,A,recovered,e345e42f1ca63b84,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.7,149,A,recovered,ed1bccbf1b574419,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.7,167,A,recovered,affd365f686255d3,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.7,191,A,recovered,e9e25fe5f7ed63cd,"[1,14,27,40]",1.0,[],1.0,,,,,
even,even_idm_leader_d02,1.8,3,A,recovered,837d458a2d9ca5da,"[1,14,27,40]",1.0,[],1.0,,,,,
